State,District,Market,Commodity,Variety,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,04-01-2021,800,1200,1100
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,05-01-2021,500,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,06-01-2021,300,1000,650
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,07-01-2021,400,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,08-01-2021,500,1000,700
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,09-01-2021,500,900,750
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,11-01-2021,500,700,650
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,12-01-2021,700,1000,900
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,13-01-2021,500,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,15-01-2021,600,1000,850
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,16-01-2021,600,1000,850
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,18-01-2021,700,1000,900
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,19-01-2021,500,1000,700
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,20-01-2021,300,800,550
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,21-01-2021,300,700,500
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,22-01-2021,300,600,450
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,28-01-2021,400,700,550
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,29-01-2021,400,600,550
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,30-01-2021,500,800,650
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,03-02-2021,500,800,550
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,04-02-2021,400,1000,550
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,05-02-2021,400,1000,700
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,06-02-2021,400,900,650
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,08-02-2021,500,900,600
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,09-02-2021,500,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,10-02-2021,600,1000,850
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,11-02-2021,500,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,12-02-2021,500,1000,750
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,13-02-2021,500,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,15-02-2021,500,1000,750
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,16-02-2021,400,800,650
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,17-02-2021,500,1000,800
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,18-02-2021,300,1000,750
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,19-02-2021,300,1000,700
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,22-02-2021,500,900,700
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,23-02-2021,500,800,700
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,24-02-2021,700,1000,900
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,25-02-2021,500,1100,850
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,26-02-2021,1000,1200,1100
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,27-02-2021,900,1500,1250
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,02-03-2021,1200,1800,1600
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,03-03-2021,600,1800,1300
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,04-03-2021,1000,1300,1200
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,05-03-2021,800,1500,1200
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,06-03-2021,500,1300,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,08-03-2021,800,1200,1100
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,09-03-2021,600,1300,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,10-03-2021,600,1200,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,12-03-2021,800,1300,1100
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,13-03-2021,500,1200,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,15-03-2021,1000,1500,1350
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,16-03-2021,700,1200,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,17-03-2021,800,1500,1150
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,18-03-2021,500,1500,1100
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,19-03-2021,500,1200,950
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,20-03-2021,600,1200,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,22-03-2021,600,1200,1000
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,23-03-2021,700,1200,1050
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,24-03-2021,700,1500,1200
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,25-03-2021,600,1500,1150
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,26-03-2021,1000,1500,1150
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,30-03-2021,1000,2000,1600
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,31-03-2021,1300,1600,1500
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,01-04-2021,1000,1600,1400
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,05-04-2021,600,1200,900
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,06-04-2021,600,1500,1100
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,07-04-2021,700,1500,1250
Gujarat,Ahmedabad,Ahmedabad,Onion Green,Other,08-04-2021,600,1400,1250
