state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andaman and Nicobar,Nicobar,Car Nicobar,Onion,Other,06-01-2023,6000,6000,6000
Andaman and Nicobar,Nicobar,Car Nicobar,Onion,Other,09-01-2023,6000,6000,6000
Andaman and Nicobar,Nicobar,Car Nicobar,Onion,Other,13-01-2023,6000,6000,6000
Andaman and Nicobar,Nicobar,Car Nicobar,Onion,Other,20-01-2023,6000,6000,6000
Andaman and Nicobar,Nicobar,Car Nicobar,Onion,Other,23-01-2023,6000,6000,6000
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,02-01-2023,1200,1619,1385
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,03-01-2023,1329,1559,1451
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,05-01-2023,937,1622,1325
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,06-01-2023,990,1685,1499
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,07-01-2023,1200,1589,1489
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,09-01-2023,1059,1059,1059
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,10-01-2023,1159,1510,1159
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,11-01-2023,1055,1609,1360
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,12-01-2023,1055,1261,1055
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,13-01-2023,1175,1175,1175
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,17-01-2023,1475,1539,1539
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,18-01-2023,618,1519,1009
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,19-01-2023,1089,1559,1389
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,20-01-2023,729,1561,1089
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,23-01-2023,1007,1511,1347
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,24-01-2023,1259,1379,1309
Andhra Pradesh,Kurnool,Kurnool,Onion,Local,25-01-2023,657,1629,1078
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,01-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,02-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,03-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,04-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,05-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,06-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,07-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,08-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,09-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,10-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,11-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,12-01-2023,800,1000,900
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,20-01-2023,1000,1500,1200
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,21-01-2023,1000,1500,1200
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,22-01-2023,1000,1500,1200
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,23-01-2023,1000,1500,1200
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,24-01-2023,1000,1500,1200
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,25-01-2023,1000,1500,1200
