Months,Category,2017,2018,2019
January,Retail Prices (Rs. Per kg),14.84,42.69,18.03
February,Retail Prices (Rs. Per kg),14.61,35.12,16.48
March,Retail Prices (Rs. Per kg),14.52,26.18,15.87
April,Retail Prices (Rs. Per kg),14.36,19.28,16.25
May,Retail Prices (Rs. Per kg),14.07,16.72,16.96
June,Retail Prices (Rs. Per kg),14.56,17.78,19.04
July,Retail Prices (Rs. Per kg),15.04,21.02,21.11
August,Retail Prices (Rs. Per kg),26.02,21.6,24.82
September,Retail Prices (Rs. Per kg),26.58,20.6,38.3
October,Retail Prices (Rs. Per kg),30.11,21.41,47.02
November,Retail Prices (Rs. Per kg),39.07,22.02,61.08
December,Retail Prices (Rs. Per kg),43.44,19.36,82.17*
Annual Average,Retail Prices (Rs. Per kg),22.27,23.65,31.43
January,Wholesale Prices (Rs. per qtl.),1105.87,3517.81,1340.56
February,Wholesale Prices (Rs. per qtl.),1075.55,2862.89,1211.99
March,Wholesale Prices (Rs. per qtl.),1070.99,2047.78,1142.17
April,Wholesale Prices (Rs. per qtl.),1050.96,1466.91,1202.01
May,Wholesale Prices (Rs. per qtl.),1014.8,1250.93,1271.48
June,Wholesale Prices (Rs. per qtl.),1049.06,1340.9,1458.92
July,Wholesale Prices (Rs. per qtl.),1079.22,1618.8,1633.96
August,Wholesale Prices (Rs. per qtl.),2023.4,1666.86,1991.04
September,Wholesale Prices (Rs. per qtl.),2061.55,1573,3200.87
October,Wholesale Prices (Rs. per qtl.),2392.32,1646.47,3980.88
November,Wholesale Prices (Rs. per qtl.),3197.39,1710.03,5243.53
December,Wholesale Prices (Rs. per qtl.),3549.3,1455.93,7186.55*
Annual Average,Wholesale Prices (Rs. per qtl.),1722.53,1846.53,2572
